facility_id,measure_id,value,footnote,start_date,end_date
50760,MSPB-1,0.966778,,01/01/2024,12/31/2024
50761,MSPB-1,1.041812,,01/01/2024,12/31/2024
50763,MSPB-1,1.288944,,01/01/2024,12/31/2024
50764,MSPB-1,0.949143,,01/01/2024,12/31/2024
50765,MSPB-1,,1.0,01/01/2024,12/31/2024
50766,MSPB-1,0.998828,,01/01/2024,12/31/2024
50767,MSPB-1,0.858541,,01/01/2024,12/31/2024
50769,MSPB-1,0.875428,,01/01/2024,12/31/2024
50770,MSPB-1,1.065751,,01/01/2024,12/31/2024
50771,MSPB-1,1.3465,,01/01/2024,12/31/2024
50772,MSPB-1,0.84467,,01/01/2024,12/31/2024
50775,MSPB-1,1.042839,,01/01/2024,12/31/2024
50776,MSPB-1,1.35533,,01/01/2024,12/31/2024
50777,MSPB-1,1.015155,,01/01/2024,12/31/2024
50778,MSPB-1,,1.0,01/01/2024,12/31/2024
50779,MSPB-1,0.947906,,01/01/2024,12/31/2024
50780,MSPB-1,1.417005,,01/01/2024,12/31/2024
50782,MSPB-1,1.114883,,01/01/2024,12/31/2024
50783,MSPB-1,0.990993,,01/01/2024,12/31/2024
